Ticker,Stock_Ex,Price,% Price 7 days,% Price 1 month,% Price 3 months,% Price 1 year,EPS,PE,Beta
A32,UpCom,29.1,0.0,1.05,0.0,-2.91,2.51190107501247,13.1374600410313,0
AAA,HSX,8.6,2.58,1.11,2.13,-1.14,Infinity,0,0.77644378231531
AAM,HSX,9.74,1.54,0.0,1.41,0.0,0.727439965167576,14.8465859962919,0.131890681839381
AAS,UpCom,8.6,0.0,1.04,0.93,-1.74,4.27899204363837,1.86959917625781,0
AAT,HSX,4.89,0.0,1.37,0.82,-2.63,0.0651081736446262,92.1543281608425,0
AAV,HNX,0,3.8,-2.22,3.08,-2.04,-0.162859490068217,-34.3854693248415,0
ABB,UpCom,7.8,1.3,0.0,-1.1,-10.17,1.62131596716084,4.68755020855602,0
ABC,UpCom,13.5,1.45,0.0,-5.95,-8.93,33.8617087061912,0.440025048035327,0
ABI,UpCom,26.7448,-29.41,-30.72,-31.4,-44.14,3.24341192565175,11.9627111478303,-0.030427584082552
ABR,HSX,17.4,0.0,0.0,6.82,-7.43,1.45964237615,8.97480109789152,0
ABS,HSX,5.27,0.58,2.04,1.19,-1.81,1.97173843759124,3.73781829247265,0
ABT,HSX,33.9,0.0,0.0,5.14,-6.41,5.12424268068825,6.52779387792525,0.347169107359388
ACB,HSX,22.3,2.13,0.0,4.05,-2.06,3.27601434018853,6.80705201025361,0.51853474717378
ACC,HSX,11.3,-0.43,-1.66,2.57,-0.35,0.564560824951512,22.849619438451,0.206044212293629
ACE,UpCom,35.5,1.18,-2.95,-5.24,-9.34,1.63398213747365,20.4408599298648,-0.0011936160791637
ACG,HSX,38.3,-3.72,-0.24,-0.12,-0.62,3.19496934969518,13.3960596536187,0
ACL,HSX,12.45,3.32,-0.71,0.37,-2.52,0.537038125141907,27.6516681121588,0.317787519820912
ACM,UpCom,0.5,20.0,0.0,14.29,0.0,-0.193849373933055,-3.6110511259208,0
ACS,UpCom,10.2,0.0,0.0,0.0,0.0,0,0,0
ACV,UpCom,70.2,-1.81,-0.13,-0.73,0.27,3.59620702967349,21.3280268257981,0
ADC,HNX,0,-2.47,0.0,-2.22,-9.09,3.23854854164436,5.61980151477335,-0.0965706219380553
ADG,HSX,26,0.0,6.8,-2.87,0.0,1.78134151029597,15.9430405881472,0
ADP,HSX,18.5,0.0,6.93,4.32,14.73,Infinity,0,-0.183489594363052
ADS,HSX,13.4,0.81,1.47,-0.58,-4.07,0.991677556323943,16.5376335235349,0
AFX,UpCom,9.4,0.0,0.0,-0.77,0.0,0.550210377811389,21.0828447950076,0
AG1,UpCom,7.2,0.0,1.43,0.0,-3.28,0.378313649744993,17.4458415773494,0
AGF,UpCom,3.2,0.0,0.0,-3.85,0.0,-0.498841938085596,-5.81346470412917,0.272362652737618
AGG,HSX,25.95,1.17,-0.66,2.48,-0.15,-0.454650600296825,-74.342802974269,0
AGP,UpCom,24.5,-0.41,0.0,0.0,-11.12,2.04672444733564,12.2146388745902,0
AGR,HSX,13.4,-0.38,3.45,1.62,-4.05,0.80951360863492,16.5531497643336,1.04691726518049
AGX,UpCom,36.3,-14.32,-6.4,8.11,-3.66,1.17211797215728,34.6381515891919,0
AIC,UpCom,10.9,6.38,7.29,0.0,-1.01,0.29474935,42.0696432409435,0
ALT,HNX,0,-2.85,-7.91,-4.65,-6.72,1.86799440198957,7.64114418238241,0.397774077644378
ALV,UpCom,4.1,0.0,-2.27,-2.13,0.0,0.0602996586347566,74.6272881453131,0.581807028306021
AMC,HNX,0,-100.0,1.15,-0.45,0.0,1.69482083850474,10.4435817626693,-0.0125951193912359
AME,HNX,0,-2.33,0.0,0.0,3.85,0.173121151623032,47.9433039936858,-0.360496166767163
AMP,UpCom,22.5,13.64,0.0,0.0,0.0,1.82434759824337,9.48284198507886,0
AMS,UpCom,10.4,1.98,4.08,0.89,-1.39,0.818382813101793,12.7079892606523,0
AMV,HNX,0,-0.84,2.63,0.0,0.0,0.101698576313617,45.231704973082,0.361843834896153
ANT,UpCom,10.5,-2.86,0.0,0.79,-17.96,0,0,0
ANV,HSX,27.8,-5.32,2.9,0.69,-2.77,1.94267177683645,20.1936802405833,0.809999067251189
APC,HSX,10.15,0.0,3.4,-1.22,-2.1,-1.86680606670929,-6.37452395951163,0.714858688555172
APF,UpCom,56,-1.58,0.0,-0.32,-18.91,10.5718958424152,5.67542481446667,0
APG,HSX,9.72,4.62,3.27,0.11,-1.28,0.675064538874039,14.3986233023176,0.0453947944965384
APH,HSX,7.27,1.57,0.91,2.36,-2.38,-0.291848408783792,-31.1805708926838,0
API,HNX,0,-0.7,0.0,4.62,-3.23,0.430908890853211,16.2447332802529,0.623608798527736
APL,UpCom,24.1,0.0,0.0,0.0,-4.84,0,0,0
APP,UpCom,4.7,0.0,0.0,0.0,0.0,0.721863258296943,9.42006664259782,0.419948894175698
APS,HNX,0,-0.35,1.59,2.74,0.0,1.3486058731917,5.04224409456759,1.20418894049601
APT,UpCom,3.8,0.0,0.0,12.9,0.0,0,0,0
ARM,HNX,0,-100.0,9.62,0.0,-2.0,1.2337283148656,19.8585050734358,0.153372103116049
ASA,UpCom,12.6,0.0,0.0,0.0,0.0,0.0650572728915,193.675502215007,1.3239856279029
ASG,HSX,23,0.44,0.0,2.19,-1.92,-0.134794016380159,-175.081955666644,0
ASM,HSX,8.7,2.72,4.08,1.31,-1.94,0.875884917086852,12.8441531307753,1.60852532413021
ASP,HSX,5.35,-3.76,0.34,0.0,-0.18,0.646608186825481,9.43384281901519,0.324876410782576
AST,HSX,56.4,-0.36,-1.58,-0.66,-1.74,1.90283489521592,30.95381535628,0
ATA,UpCom,1.1,0.0,0.0,7.69,0.0,0.0475592558051426,31.5396020102948,0.777073034231881
ATB,UpCom,0.5,20.0,0.0,0.0,0.0,-0.338533299697494,-2.65852724327037,0
ATG,UpCom,2.4,0.0,0.0,3.23,0.0,-0.0130312751642576,-199.519998405938,0
ATS,HNX,0,-100.0,0.0,-4.55,0.0,0.233233355142857,55.3094131501845,0
AVC,UpCom,51,-14.92,-3.7,-8.11,-13.95,6.94677137605306,7.99036389476913,0
AVF,UpCom,0.5,0.0,0.0,16.67,0.0,-2.10181490147011,-0.285467573562416,1.2226471411249
B82,UpCom,0.5,20.0,0.0,16.67,0.0,0.09289259314488,6.45907256635854,0.309876435018841
BAB,HNX,0,-0.85,0.0,-0.69,-0.71,0.97594564803435,12.9105550348809,0
BAF,HSX,23.55,1.76,1.72,0.87,-6.96,0.675623564019621,31.0823972376874,0
BAL,UpCom,8.5,0.0,0.0,-2.74,-15.35,1.6046350172643,4.61164060386521,0
BAX,HNX,0,3.79,0.0,2.71,-6.72,2.80980843760449,19.2183920004304,0
BBC,HSX,51.9,0.19,2.55,0.68,1.7,3.23342996077348,17.7520468036577,-0.154929577464789
BBH,UpCom,9.3,0.0,0.0,0.0,0.0,0,0,0
BBM,UpCom,9.1,0.0,14.12,0.0,-4.44,1.3692643928905,7.66835101717254,0
BBS,HNX,0,-100.0,0.0,-10.08,-10.08,0.4704478243136,24.8699205210922,-0.14328279730085
BBT,UpCom,9.1,0.0,0.0,-4.17,0.0,-1.37757727132653,-6.31543520721882,0
