Ticker,Stock_Ex,Price,% Price 7 days,% Price 1 month,% Price 3 months,% Price 1 year,PE,Beta
A32,UpCom,29.1,0.0,0.0,0.0,-7.93,13.1374600410313,0
AAA,HSX,8.7,-2.91,0.22,-0.42,-5.89,0,0.77644378231531
AAM,HSX,9.26,-6.24,-3.77,-0.46,-6.94,14.8465859962919,0.131890681839381
AAS,UpCom,8.6,-5.0,0.0,6.54,-12.04,2.00981911447714,0
AAT,HSX,4.75,-4.04,0.0,0.0,-7.1,92.1543281608425,0
AAV,HNX,4.2,-2.56,-2.27,1.49,-8.33,-34.3854693248415,0
ABB,UpCom,7.7,-1.3,1.22,2.22,-12.46,4.8109067929917,0
ABC,UpCom,13.5,1.48,0.0,-7.18,-8.93,0.440025048035327,0
ABI,UpCom,27.5,-31.07,-31.95,-30.9,-39.44,11.9627111478303,-0.030427584082552
ABR,HSX,17.4,0.0,0.0,-6.99,0.21,8.97480109789152,0
ABS,HSX,5.24,-3.09,0.16,2.94,-5.88,3.73781829247265,0
ABT,HSX,33.9,-6.88,-0.15,-6.79,-0.14,6.52779387792525,0.347169107359388
ACB,HSX,22.05,0.47,0.93,-2.66,2.23,6.73073976798619,0.51853474717378
ACC,HSX,10.95,0.0,6.49,-1.08,-7.29,22.849619438451,0.206044212293629
ACE,UpCom,36,2.63,1.19,-6.72,-9.34,20.4408599298648,-0.0011936160791637
ACG,HSX,38.15,-0.39,1.47,0.0,-3.04,13.3960596536187,0
ACL,HSX,12.7,-4.44,3.33,2.24,-4.78,27.6516681121588,0.317787519820912
ACM,UpCom,0.6,0.0,16.67,0.0,0.0,-3.6110511259208,0
ACS,UpCom,10.2,0.0,-13.7,0.0,0.0,0,0
ACV,UpCom,70,-0.99,-0.4,0.37,0.69,21.3280268257981,0
ADC,HNX,18,0.0,2.34,0.0,-9.09,5.61980151477335,-0.0965706219380553
ADG,HSX,26,0.0,4.65,0.0,-6.19,15.9430405881472,0
ADP,HSX,18.5,0.0,1.55,-0.52,14.49,0,-0.183489594363052
ADS,HSX,13.2,-1.6,1.47,-2.03,-6.2,16.5376335235349,0
AFX,UpCom,9.3,-1.08,1.0,3.1,0.0,21.0828447950076,0
AG1,UpCom,7.4,0.0,2.86,0.0,0.0,17.4458415773494,0
AGF,UpCom,2.9,0.0,10.0,0.0,0.0,-5.81346470412917,0.272362652737618
AGG,HSX,25.6,0.0,0.99,-0.81,-2.65,-74.342802974269,0
AGP,UpCom,24.5,0.0,0.0,-0.8,-8.84,12.2146388745902,0
AGR,HSX,13.45,-6.0,1.9,3.19,-3.89,16.6149152485289,1.04691726518049
AGX,UpCom,36.3,0.0,0.0,0.0,-3.66,34.6381515891919,0
AIC,UpCom,11.7,0.96,0.0,-0.97,-9.09,42.0696432409435,0
ALT,HNX,13.3,-1.48,0.78,2.07,-15.76,7.64114418238241,0.397774077644378
ALV,UpCom,4,2.38,0.0,13.04,-14.71,74.6272881453131,0.581807028306021
AMC,HNX,18.4,2.4,4.68,0.49,0.0,10.4435817626693,-0.0125951193912359
AME,HNX,8.8,0.0,2.38,0.0,0.93,47.9433039936858,-0.360496166767163
AMP,UpCom,22.5,0.0,14.45,0.0,0.0,9.48284198507886,0
AMS,UpCom,10.2,-1.96,0.97,0.89,-5.71,12.7079892606523,0
AMV,HNX,3.6,-5.56,2.56,1.96,-7.69,45.231704973082,0.361843834896153
ANT,UpCom,10.8,0.0,0.0,0.78,-14.68,0,0
ANV,HSX,27.4,-6.82,1.87,2.2,-7.06,20.1936802405833,0.809999067251189
APC,HSX,10.2,1.5,-0.47,1.24,-6.83,-6.37452395951163,0.714858688555172
APF,UpCom,55.3,-0.54,0.17,-0.32,-20.87,5.67542481446667,0
APG,HSX,9.49,-0.34,2.37,3.1,-7.22,14.0579151377565,0.0453947944965384
APH,HSX,7.24,-1.15,-0.39,0.1,-6.79,-31.1805708926838,0
API,HNX,6,0.0,0.0,4.41,-9.88,16.2447332802529,0.623608798527736
APL,UpCom,24.1,0.0,0.0,0.0,-4.84,0,0
APP,UpCom,4.8,4.44,4.17,2.13,0.0,9.42006664259782,0.419948894175698
APS,HNX,6.6,0.0,0.0,6.67,-8.96,4.89394279766854,1.20418894049601
APT,UpCom,3.8,0.0,8.57,0.0,0.0,0,0
ARM,HNX,26.1,0.0,-0.38,0.0,-2.0,19.8585050734358,0.153372103116049
ASA,UpCom,12.6,0.0,0.0,0.0,0.0,193.675502215007,1.3239856279029
ASG,HSX,23,-0.22,-0.22,0.0,0.0,-175.081955666644,0
ASM,HSX,8.66,-3.73,1.1,2.59,-6.99,12.8441531307753,1.60852532413021
ASP,HSX,5.4,0.0,0.0,0.79,-6.49,9.43384281901519,0.324876410782576
AST,HSX,55.9,-2.38,0.0,2.15,-7.0,30.95381535628,0
ATA,UpCom,1,0.0,0.0,0.0,0.0,31.5396020102948,0.777073034231881
ATB,UpCom,0.5,0.0,0.0,0.0,0.0,-2.65852724327037,0
ATG,UpCom,2.7,0.0,-6.9,0.0,0.0,-199.519998405938,0
ATS,HNX,11.2,0.0,-9.32,0.95,0.0,55.3094131501845,0
AVC,UpCom,51,-0.39,-0.26,-8.11,-15.03,7.99036389476913,0
AVF,UpCom,0.6,0.0,0.0,0.0,0.0,-0.285467573562416,1.2226471411249
B82,UpCom,0.6,0.0,20.0,0.0,0.0,6.45907256635854,0.309876435018841
BAB,HNX,12.8,-0.79,0.74,1.4,-2.17,13.115484479879,0
BAF,HSX,23.7,0.0,0.43,0.0,-7.0,31.0823972376874,0
BAL,UpCom,8.5,0.0,0.0,11.43,-2.86,4.61164060386521,0
BAX,HNX,48,0.0,0.6,-9.92,-6.72,19.2183920004304,0
BBC,HSX,52,0.0,0.0,-0.51,-0.56,17.7520468036577,-0.154929577464789
BBH,UpCom,9.3,0.0,0.0,0.0,0.0,0,0
BBM,UpCom,9.1,0.0,0.0,0.0,5.06,7.66835101717254,0
BBS,HNX,10.8,0.0,0.0,-5.26,-10.08,24.8699205210922,-0.14328279730085
BBT,UpCom,9.1,-4.21,0.0,-10.43,0.0,-6.31543520721882,0
BCA,UpCom,5.2,2.04,0.0,0.0,-8.93,48.8412428277692,0
BCB,UpCom,0.5,0.0,0.0,0.0,0.0,146.630458764855,0
BCC,HNX,9.1,-6.67,-0.92,-2.0,-10.58,-14.1390966258936,1.40539829988607
BCE,HSX,5.75,1.36,1.71,1.54,-4.76,-6.2934804137345,0.742374778472157
BCF,HNX,28.5,-1.69,0.0,2.81,-17.04,9.95122329076416,0
BCG,HSX,7.89,-6.53,1.12,-0.85,-7.2,-139.870731254611,0
BCM,HSX,58.5,-1.51,0.87,-0.65,1.35,92.5610163792979,0
BCP,UpCom,9.2,0.0,0.0,0.0,-2.17,-12.8056014138398,0
